baiTamaina banAma suparamaina	batman vs superman
mujhe enimezana pasaMda hai aura piksara adbhuta hai| yaha vAstava meM ekadama sahI thA| jaisA ki ullekha kiyA gayA thA eka pratibhA kA kAma|	mujhe animations pasaMda haiM aura Pixar amazing haiM.yaha bahuta perfect thA.jaise mention kiyA thA ki yaha eka genius kA work hai .
maiM bhI piksara se pyAra karatA hU~	mujhe bhI picara pasaMda hai
zAyada ve eka aura Taॉya sTorI philma banA deMge|	zAyada vaha aura eka toy story movie banAeMge
vuDI aura baz2a ke bIca kI bAtacIta vAstava meM acchI hai| Taॉma haiMksa ko vuDa ke rUpa meM sunanA bhI avizvasanIya hai|	woody aura bhuja ke bhItara kA saMbhASaNa acchA hai . aura tom hAMka kA AvAja woody ko suit hotA hai achese
oha hA~, klAsika AvAja	are ha , classic AvAz2a hai
mujhe pasaMda hai ki unakI dostI kaise bar3hI|	mujhe acchA lagatA hai ki kaise unakI friendship bar3hatI hai
yaha vAstava meM dilacaspa thA ki ve pratidvaMdviyoM se dostoM meM badala jAte haiM	yaha dekhane meM acchA thA ki kaise vaha duzmana se dosta baMTI haiM
mujhe sahAyaka khilaune bhI pasaMda haiM|	mujhe sa toys bhI achI lagI
nizcita rUpa se vuDI aura baz2a adbhuta haiM lekina anya bhI ekadama sahI haiM|	woody and buzz to ache hai hI but bAkI loga bhI achI thI
vahA~ kucha khilaunA kahAnI philmeM nahIM haiM?	toy story ke kama movie = se nahIM hai na
hA~ nizcita rUpa se. bhIkha mA~gane para eMDI kI pArTI kA dRzya vAstava meM lubhAvanI hai kyA Apako nahIM lagatA?	huA hai . bhIkha mAMgane ke scene meM andy kI party bahota achi thI
hA~, jaba vaha pahalI bAra baz2a mila gayA.	hai aura jaba usakI pahalI bujha mile
kyA tuma abhI bhI vahA~ ho?	kyA tuma vahA~ abhI taka hU~ ?
nizcita rUpa se, aura anya khilaune bahuta maz2edAra haiM	hA~ sue , aura dUsarI toy bhI bahuta funny hai
ApakA pasaMdIdA kauna hai?	Apa kA favorite kauna hai ?
oha yaha kahanA muzkila hai. lekina mujhe lagatA hai ki zrI AlU sira.	yaha bahuta muzkila se kahanA hai ki maiM more potato head ke support meM huI .
aura tumhAre bAre meM kyA?	Apake apane bar3e maikyA khayAla hai ?
Bopeep mujhe lagatA hai	maine socA bopeep
aura pijjA graha para dRzya ke bAre meM kyA? kyA eka bhrama, sahI hai?	pizza planet ke bAre meM kyA kahanA hai . abhI kyA confusion hai ?
hA~! hA~!	yeah !
lekina taba choTe eliyaMsa Ae the	jaba little aliens Aye
nizcita rUpa se, aura vahA~ pahu~cane meM sakSama hone ke lie sabhI daur3a bhI| vAstava meM acchA hai|	hA~ kyoM nahIM , yahA~ sabhI run mila sakate haiM . bahut achcha
aura eMDI ke par3osI siDa ke bAre meM kyA? khilaunoM ke lie kitane DarAvane bacce haiM, hai nA?	Andys kI neighbor Sid ke bhASya meM kyA khayAla hai . toy ke lie terrifying children right hsi kyA ?
eMDI kI ArasI kAra vAstava meM maz2edAra hai kyA Apako nahIM lagatA?	Andy's RC kara bahuta funny hai Apa kA kyA khayAla hai ?
mujhe bhI yAda nahIM hai.	mujhe yAda nahIM hai .
vuDI eMDI kI kAra ke lie vApasa ur3anA vAstava meM eka acchA eka hai.	Woody Andys kI kAra meM vApasa AtA hai jo eka acchI bAta hai
kyA Apane itihAsa ke aMta kA AnaMda liyA hai?	kyA Apa ne history kI end ko enjoy kiyA ?
ApakA kyA matalaba hai?	tumhArA kyA matalaba hai ?
kaise cIjoM ke aMta ke lie Ate haiM, eka khuza aMta sahI matalaba hai?	things kaba end hogI means happy or right ?
oha nizcita rUpa se!	ha definitely !
hailo	hello
filma kA nAma kyA hai?	movie kA nAma kyA thA ?
hailo	hello
kyA tumane 'da posTa' dekhA?	kyA tumane ' The Post ' dekhI hai ?
nahIM, maiM nahIM kiyA thA	nahI maine nahIM kiyA
yaha kauna sI zailI hai?	kaunasA genre hai yaha ?
yaha 'aitihAsika, rAjanItika' hai	yaha ' Historical , Political ' hai
sTIvana spilabarga dvArA nirdezita	Steven Spielberg ne ise direct kiyA
oha. kyA isameM koI abhinetA haiM jinake bAre meM mujhe patA ho sakatA hai?	oh . kyA isameM koI actor hai jisakA mujhe patA ho ?
mairila sTrITa	merila sTorI
sTrIpa	steel
Taॉma haiMksa	Tom Hanks
kyA yaha eka naI philma hai?	kyA yaha naI movie hai ?
hA~, 2017	hAM , 2017
oha, mujhe lagatA hai ki maiM samaya ke pIche thor3A hU~. yaha acchI taraha se prApta kiyA gayA hai?	oh , mujhe lagatA hai maiM thoDA samaya meM pIche hU~ . kyA ye well received haiM ?
mujhe lagatA hai ki yaha dekhane ke lAyaka hai	maiM socatA hU~ ye worth watching hai
kyA Apa sAjiza ke bAre meM kucha jAnanA cAhate haiM?	kyA tuma plot ke bAre meM jAnanA cAhate ho ?
yaha kisa prakAra kI "posTa" ke nAma para rakhA gayA hai? yaha philma kisa bAre meM hai?	bAda meM post kA kyA nAma thA ? movie ke bAre meM kyA kahanA hai ?
hA~ kRpayA	hA~ please
posTa ne vAziMgaTana posTa ke patrakAroM dvArA peMTAgana persa ko prakAzita karane ke prayAsoM kI kahAnI ko citrita kiyA hai	isa post meM pentagon papers ko prakAzita karane ke lie journalists kI attempts kI story hai
kAgajAta	papers
oha. kyA yaha viyatanAma yuddha se saMbaMdhita hai?	ye kyA vietnam war se related hai ?
hA~	huA
philma eka sarakArI kavara apa ke bAre meM hai?	yaha movie government cover up ke bAre meM hai ?
sarakAra ke pAsa hamezA chipAne ke lie kucha hotA hai;)	government hamezA kucha chupAne kI koziza karatI hai ;)
kyA yaha saca nahIM hai!	yaha kyA saca hai !
yaha eka philma id AnaMda kI taraha lagatA hai	mujhe lagatA hai ki maiM yaha movie enjoy karU~gA
mujhe lagatA hai ki yaha philma dekhane lAyaka hai	mujhe lagatA hai ye movie dekhane lAyaka hai
kyA yaha eka laMbA zo hai?	kyA yahAM laMbA show hai ?
kyA Apa laMbAI jAnate haiM?	kyA tumheM length pAtA hai ?
mujhe laMbAI patA nahIM hai	mujhe length nahIM pAtA .
lekina zAyada lagabhaga 1:30 ke bAre meM hamezA kI taraha ...	lekina probably 1.30 hai as usual ..
kyA Apa jAnate haiM ki kyA isane koI puraskAra jItA hai?	kyA tumheM patA hai agara koI award jItA hai ?
mujhe nahIM patA.	mujhe nahIM patA
khaira mujhe posTa ke bAre meM batAne ke lie dhanyavAda.	Thanks mujhe post ke bAre meM batAne ke lie .
hailo! kyA Apako suparahIro philmeM pasaMda haiM?	namaste ! Apa ko superhero movies acchA lagegA kyA ?
hA~. baiTamaina zurU hotA hai! mujhe lagatA hai ki yaha eka mahAna baiTamaina philma hai. kyA Apane ise dekhA hai?	ha . batman start huA ! maine socA hai ki I batman film to great hai . Apa dekhA hai kyA ?
hA~, maiMne kiyA hai. krizciyana bela aba taka merA pasaMdIdA baiTamaina hai.	ha . mere pAsa hai . Christian Bale to mere favorite Batman hai abhI taka .
kyA Apa Amataura para philmoM ko dekhane se pahale reTiMga kI jAMca karate haiM?	Apa movies kA ratings dekhegA kyA , dekhane ke pahale ?
maiM Amataura para karatA hU~. lekina reTiMga khurAka yaha nirdhArita nahIM karatI ki maiM philma dekhUMgA yA nahIM	maine dekhUMgI . lekina rating se kucha pharaka nahIM par3egA , jo maine dekhUMgI yA nahIM .
philma meM kaI mahAna bar3e nAma ke abhinetA haiM, jo eka aura kAraNa hai ki mujhe yaha pasaMda hai aura maiM ise kevala abhinetAoM ke AdhAra para dekhUMgA	eha film to bahuta great bar3A actors thA , I to dUsarA reason hai mere ko acchA lagA aura maine dekhUMgI binA actors khelie .
maiM sahamata hU~, baiTamaina kI zuruAta meM kucha mahAna abhinetA haiM| mujhe liyAma nIsana bhI pasaMda hai, bhale hI vaha khalanAyakoM meM se eka hai|	ha , bahuta sArA great actors hai Batman Begins meM . maine like karUMgI Liam Neeson to bhI , vaha to eek villain be hai .
supara hIro aura khalanAyakoM ke sAtha-sAtha eka bar3e parde para eka sAtha mahAna abhinetAoM kI kSamatA ko dekhakara merI ruci bar3ha jAtI hai| eka acchI reTiMga mujhe yaha mahasUsa karane meM madada karatI hai ki maiM apanA samaya kucha bhayAnaka dekhane meM barbAda nahIM karUMgA	utanA potential hai actors meM dekheM big screen mere ko bahuta interest AyA thA . milake donoM super heroes aura villains bhI huI . isako acchA rating help karegA , maine time waste mata karUMgI dUsarA awful movie dekheM .
lekina eka hI samaya mujhe eka philma se nahIM rokegA agara maiM sirpha zailI meM hU~	lekina same time meM maine nahI deter karUMgI e film se if maine just genre dekheM .
maiM vyaktigata rUpa se acchI reTiMga pasaMda karatA hUM| bhale hI kisI philma meM kaI acche abhinetA hoM, agara isakI reTiMga kharAba hai, to maiM Amataura para ise sinemAgharoM meM nahIM dekhUMgA|	maiM personally acchI ratings prefer karatA hU~ . Even agara kisI movie meM kaI acche actors haiM lekina agara usakI rating kharAba hai to maiM usako usually theaters meM nahIM dekhatA .
mujhe yakIna nahIM hai ki maiM 70/100 ke meTAkriTika skora se sahamata hUM, hAlAMki|	vaise maiM sure nahIM hUM ki maiM Metacritic ke 70/100 score se agree karUMgA .
Rotten Tomatoes para 84% adhika saTIka lagatA hai|	Rotten Tomatoes pe 84 % jyAdA accurate lagatA hai .
yadi reTiMga mujhe baMda kara detI hai to maiM Ama taura para DIvIDI/vIDiyo para rilIz2a hone vAlI philma kI pratIkSA karane ke lie paryApta dhairya rakhUMgA|	Generally mere pAsa enough patience hotA hai to wait for a film to be released on DVD / Video agara mujhe rating pasaMda nahIM AtI .
Apa philma meM camagAdar3a dRzya ke bAre meM kyA socate haiM?	Movie kI bAta scene ke bAre meM kyA khyAla hai ?
mujhe lagA ki yaha dRzya isa philma kI kahAnI ko acchI taraha se darzAtA hai, aura isake bAre meM socA gayA hai|	maiM socatA hUM ki yaha scene shows the story of this film well , kAphI socA samajhA hai .
mujhe Azcarya hai ki eka sUkhe kueM ke alAvA camagAdar3oM ke lie eka behatara jagaha thI, hAlAMki|	vaise I wonder ki bats ke lie dry well se behatara koI place ho sakatI thI kyA
eka bacce ke rUpa meM baiTamaina philma nirmAtA dvArA yaha dikhAne ke lie eka acchA kadama thA ki unakA jIvana kaise zurU huA	batman as a child acchA step thA by the filmmaker yaha dikhAne ke lie ki usake life kaise start huI
kyoMki isa philma kA nAma baiTamaina bIgansa hai, maiM sahamata hUM ki brUsa kI zuruAta dikhAnA ucita thA|	Because movie kA nAma Batman Begins hai so I agree ki Bruce kI zuruAtI life dikhAnA appropriate hai .
mujhe lagatA hai ki yaha viDaMbanA hai ki luTere kA nAma jo cila hai, lekina vaha zAMta nahIM hai agara vaha logoM kI hatyA karatA hai|	mere khyAla se yaha ironic hai hai ki mugger's name is Joe Chill , lekina vaha chill nahIM hai if he murders people .
asaMbhava hA~, mujhe lagatA hai ki ve eka rahasyamaya zuruAta ke lie jA rahe the ki baiTamaina kaise AyA thA| lekina phira bhI kucha rahasya chor3anA cAhate haiM kyoMki vaha abhI bhI camagAdar3oM ke lie eka bhaya vikasita karatA hai	unlikely hA~ , mujhe lagatA hai vaha batman kaise banA ke eka mysterious beginning dikhAnA cAhate the , but phira bhI thor3I mystery chor3anA cAhatI thI kI use bats kA phobia kaise hotA hai .
bahuta viDaMbanA. zrI ThaMDa eka haDDI ThaMDa hatyArA kI adhika hai.	bahuta ironic , mora chill to eka bone chilling murdered hai
usakI bhI hatyA kara dI jAtI hai, to kama se kama use vaha milatA hai jisake vaha hakadAra hai|	usakA bhAI murder hojAtA hai , to kama se kama vaha jo deserve karatA hai use mila jAtA hai
lekina brUsa DoseMTa use mArane ke lie milatA hai to mujhe lagatA hai ki use badalA cAhate haiM chor3a detA hai	jo usake lie honA thA usako mila jAtA hai . But bruce usakA murder nahIM karatA to maiM socatA hU~ vo usakI badalA lenI kI cAhata raha jAtI hai .
mujhe lagatA hai ki yaha sthApita karane meM madada karatA hai ki brUsa sIdhe kisI kI hatyA nahIM karegA. yahAM taka ki jaba vaha chAyA kI lIga ko jalA detA hai, vaha sIdhe rAsa ala gula ko nahIM mAratA hai.	mujhe lagatA hai isa yaha establish hone meM help hotI hai ki Bruce kabhI kisI kA directly murder nahIM karate . Even jaba vaha league of Shadows ko jalA dete haiM , Ra's ala gula ko directly nahIM mAratA hai .
kisI bhI mAmale meM, anyAya kA upayoga hatyA ke lie eka kAraNa ke rUpa meM nahIM kiyA jAnA cAhie|	Injustice kabhI bhI murder kA reason nahIM honA cAiye
mujhe lagatA hai ki vaha bhAgyazAlI hai chAyA kI lIga kA hissA bana gayA, aura camagAdar3oM ke apane Dara ko zuddha karane ke lie. yaha mahatvapUrNa hissA mujhe lagatA hai ki usake lie kAphI bhAgyazAlI breka hai. ke rUpa meM vaha eka videzI deza meM jela samaya kara rahA hai.	mujhe lagatA hai kI vaha lucky thA ki league of shadows kA part bana gayA aura apane bats kI dhAra ko haTA diyA .
yaha ajIba hai ki usake parivAra eka baTalara bardAzta kara sakatA hai lekina vaha corI ke lie jela jAtA hai ...	yaha kAphI strange hai ki usakI family butler afford kara sakatI hai but vaha jela chor3a karane ke lie jAtA hai
mujhe vAstava meM gaॉrDana ke rUpa meM gairI olDamaina pasaMda hai| vaha eka acche pulisa vAle kI bhUmikA bahuta acchI taraha se nibhAtA hai|	mujhe Gary Oldman as Gordon acchA lagA . vaha eka good cop acchA play karatA hai
Apa Scarecrow dRzyoM ke bAre meM kyA socate haiM?	tuma Scarecrow vAle scenes ke bAre meM kyA socate ho ?
Scarecrow vizeSa rUpa se DarAvanA caritra thA. pAnI kI ApUrti ko jahara dene kI koziza kara	scarecrow kAphI scary character thA , water supply ko poison karane kI try kara rahA thA
aura baiTamaina Dara paidA karane vAlI davAoM ke sAtha jahara diyA gayA thA, maiMne socA ki yaha usake lie khatma ho gayA thA.	aura batman fear-inducing drugs se poisoned thA , mujhe lagA usakA saba over hai
yaha isa philma meM kaI pAtroM ke lie alaga-alaga biMduoM para khatma ho gayA thA, hA~|	hA~ , pUrI movie meM kAphI points para aisA lagA ki kAphI character ke lie it was over
maiM Azcaryacakita thA jaba asalI rA ala Ghul khuda ko dikhAyA, bhI. chAyA kI lIga AsAnI se mara nahIM karatA.	maiM bhI surprised thA jaba asalI Ra's ala gula ne khuda ko dikhAyA . League of Shadows AsAnI se nahIM maratA
aisA lagatA hai ki vaha apane pichale anubhavoM se bacane ke bAda dUsarI duniyA kI zakti hai	lagatA hai past experience survive karane ke bAda usameM otherworldly power they
are !	aho
hAya !	HELLO
yaha kaise jA rahA hai?	kaisA cala rahA hai ?
bahuta acchA. kyA Apa eka mArvala prazaMsaka haiM?	acchA . kyA AAP MARVEL kA FAN ho ?
sunakara acchA lagA. nizcita rUpa se, tumhAre bAre meM kyA?	suna ke acchA lagA . AAP kA baTa kyA hai ?
hA~, maiM eka bar3A mArvala prazaMsaka hU~. mere pasaMdIdA meM se eka eveMjarsa hai. mArka raphelo da halka ke rUpa meM mahAna hai.	hai maiM bahuta bar3A MARVEL FAN HUH . AVENGERS mere FAVORITE aura MARK raphalo bahuta bar3hiyA thA halaka jaisA .
nizcita rUpa se, maiM eveMjarsa bahuta pasaMda AyA.	ThIka hai , mere ko bhI AVENGERS pasaMda hai
mujhe yaha bhI lagatA hai ki Ruffalo eka mahAna halka hai.	maiM bhI yaha soca rahA ki MARK raphalo bar3hiyA hai halaka ke liye .
kyA eveMjarsa vaha philma hai jisake bAre meM hameM bAta karanI cAhie?	kyA Avengers aisI Movie hai ki hama isake bAre meM talk karanA cAhie ?
sar3e hue TamATara ne ise 92% reTiMga aura ausata 8/10 diyA| hA~, mujhe aisA lagatA hai|	rotten Tomatoes ne ise 92 % rating dI hai aura 8/ 10 kA average . yA , maiM aisA believe karatA hU~ .
ThIka hai to. sahI hai, maiM hamezA anubhava kiyA hai ki IMDB philmoM ko sar3e hue TamATara kI tulanA meM kama ausata reTiMga detA hai.	taba oke hai . Right , maiM hamezA experience kiyA hai ki Rotten Tomatoes kI comparison meM IMDB movies ko lower average rating detA hai .
thA	not he it is thA
yaha saca hai	yaha to sure hai
lekina mujhe lagatA hai ki 92 aura 80 eka niSpakSa Akalana haiM|	but mujhe lagatA hai ki 92 aura 80 to fair rating assessment he .
hA~, mujhe lagatA hai ki josa veDana nirdezaka ke lie bhI eka acchA vikalpa thA. unakI dRSTi vAstava meM kaॉmiksa ke anurUpa thI.	hA~ , mujhe lagatA hai ki director ke lie bhI Joss Whedon good choice . usakA vision comics ke sAtha vAstava meM inalAina thA .
khaira, maiM kaॉmiksa ke lie nahIM bola sakatA (unheM nahIM par3hA hai), lekina yaha philma sabhI nAyakoM aura unakI kahAniyoM kA eka mahAna maizaapa hai|	well , maiM comics ke regarding to kaha nahIM sakatA ( maiM unheM read nahI kiyA kI ) , but yaha movies all heroes aura unakI stories kA eka great mAzUpa kI .
mujhe lagatA hai ki yaha sirpha eka adbhuta kathAnaka ke sAtha eka bahuta acchI philma hai|	merges yaha hai ki yaha eka very good movie he amazing plot ke sAtha
maiM sahamata hU~|	me agree karatA hU~ .
lokI kliMTa bArTana kA upayoga kara use Tesseract ke sAtha madada karane ke lie bhI bhayAnaka thA. maiM use pasaMda hai, bhale hI vaha eka burA AdamI hai	Loki kA Clint Barton ko usa karanA Tesseract kI lie help ke lie bhI awesome thA . mujhe vo pasaMda hai even though vaha bad guy hai
sahI hai, ki eka mahAna dRzya thA.	hAM , bar3hiyA scene thA .
maiM kahUMgA ki lokI eka pyArA khalanAyaka hai|	maiM bolUMgI ki laukI eka likable villain hai
yaha dilacaspa thA ki kaise isane eveMjarsa ke bhItara isa taraha ke eka Riff kA kAraNa banA| thora abhI bhI mahasUsa kiyA ki vaha philma ke daurAna laMbe samaya taka usake prati vaphAdAra thA|	Avengers meM usakA kahA sunI karavAranA kAphI interesting thA . tor3a ko movie ke daurAna aise laga rahA thA usake lie loyalty hai
Apako kyA lagatA hai?	tuma yaha socate ho ?
maiMne socA ki vaha usake sAtha bahuta nirdayI thA.	mujhe to lagA vo usake sAtha kAphI ruthless thA
yaha spaSTa rUpa se sirpha merI rAya hai|	vo basa mere opinion haiM obviously .
maiM ise kucha hada taka dekha sakatA hUM lekina agara vaha cAhatA thA to vaha bahuta adhika nukasAna pahuMcA sakatA thA|	meM vaha dekha sakatA hU~ but mujhe lagatA hai vaha bahuta jyAdA damagAra kara sakatA thA agara vo cAhatA vo
kyA Apake mana meM koI viziSTa udAharaNa hai?	tumhAre mind meM koI specific example hai ?
aMtima lar3AI dRzya nizcita rUpa se thA. vaha use mAra sakatA thA.	vaha end fight scene definitely . vaha use mAra sakatA thA .
oha, eka jahAM halka use mArane ke lie samApta hotA hai?	oh vahAM kA hai jaise halaka mAra rahA hai ?
hA~, yaha klAsika thA. philma ke sabase majedAra kSaNoM meM se eka. mujhe yaha bhI pasaMda AyA jaba Ayarana maina varmahola ke mAdhyama se vApasa gira gayA. yaha sabhI ko kinAre para thA mujhe lagatA hai.	hai yaha classic thA film kI sabase majedAra samaya meM se eka mujhe bhI pasaMda AyA maiMne wormhole ke mAdhyama se vApasa gira gayA mujhe lagatA hai ki yaha hara kisI ke pAsa thA
nizcita rUpa se. mahAkAvya dRzya.	bilkula mahAkAvya ke scenes hai
kyA hama anya philmoM ke bAre meM bAta kara sakate haiM yA sirpha isa eka ke bAre meM?	kyA hama isI movie ke bAre meM carcA kara sakate haiM ?
Apa jAnate haiM, emasIyU	kyA tuma MCU jAnate ho ?
mujhe yaha bhI pasaMda hai ki kaise nika phyUrI pariSada ke sAtha apanI jamIna para khar3A thA. basa yaha eka.	mujhe bhI yaha pasaMda hai ki nick fury ne council ke sAtha apanA ground batA diyA zirka yaha eka
samajha gayA.	samajha gayA
hA~, phyUrI bhI bahuta acchA hai.	hai fury bhI botA bar3hA hai
to, kisI bhI aMtima vicAra?	to koI AkhirI sujhAva ?
yaha pAgalapana hai ki pariSada use nyUyaॉrka meM eka paramANu misAila girAne ke lie cAhatA thA.	yaha crazy bAta hai ki council cAhatI hai ki nuclear missile new york para girI
mahAna udAharaNa, AdamI.	great udAharaNa , man
yaha eka aura MCU prazaMsaka ke sAtha bAta karane ke lie bahuta acchA thA.	Another MCU fan se talk karanA great thA
aba sAvadhAna raho!	now dhyAna rakhanA
nizcita rUpa se! tuma bhI!	Definitely ! tuma bhI !
namaskAra	namaste
hailo kyA koI acchI philmeM A rahI haiM?	namaste , Aja kala acchA picture cala rahA hai kyA ?
hA~ Apa kabhI eka baiTamaina philma dekhA hai	acchA ... Apa kabhI Batman kA movie pahale kabhI dekhA hai ?
hA~, mujhe baiTamaina philmeM bahuta pasaMda haiM! abhinetA kauna hai?	jI hAM , hama ko Batman movies bahuta pasaMda hai . usameM actor kauna haiM ?
yaha krizciyana bela thA	Actor Christian Bale thA
oha, maiM use pyAra karatA hU~. kyA philma meM bahuta sArI ekzana hai?	arare vAha , maiM usako bahuta pasaMda karatA hU~ . yaha picture meM acchA mArA mArI hai kyA ?
hA~ yaha baiTamaina para eka aMdherA le gayA thA yaha baiTamaina ke kSatigrasta mana kA patA lagAyA	jI hA , isameM Batman kA kAlA side ko batAyA , aura Batman kA kharAba huA dimAga ko khUba dikhAyA .
vAha. kyA jokara isameM eka mahatvapUrNa bhUmikA nibhAtA hai?	arare vAha . isameM vaha joker kA bar3hiyA role hai kyA ?
mujhe lagatA hai ki yaha DarAne vAlA kauA thA nahIM	No , mujhe lagatA hai ki vaha scare crow thA
oha ThIka hai. kyA yaha eka laMbI philma hai?	oh okay . kyA yaha eka long movie hai ?
maiM lagabhaga Der3ha ghaMTe ke bAre meM kaheMge	maiM lagabhaga hour aura half kahUgA .
